Designator,Mid X,Mid Y,Rotation,Layer
C1,19.4,-40,90,top
C2,17.15,-40,90,top
C3,24.6,-46.05,180,top
C4,25,-44.3,180,top
C5,24.4,-29,0,top
C6,31.6,-44.1,180,top
C7,35.914,-32.9788,-90,top
C8,8.63,-30.86,180,top
C9,18.6,-33.1,90,top
C10,18.6,-36.3,-90,top
C14,54.4,-20.75,-90,top
C15,26.3,-9.8,-90,top
C16,21.95,-31.45,180,top
D1,54.1,-47,90,top
D2,56.7,-47,90,top
D3,59.4,-47,90,top
D4,35,-24.6,180,top
D5,61.9,-54,-90,top
D6,45.9,-49.25,-90,top
D7,36.65,-49.25,-90,top
D10,63.6,-19.4,0,top
FB1,14.65,-40.1125,-90,top
HSE1,16.1,-34.5,90,top
L1,37.9,-6.8,180,top
Q2,5.9,-23,180,top
R2,14.4,-49.75,0,top
R3,54.15,-44,-90,top
R4,56.7,-44,-90,top
R5,59.4,-44,-90,top
R6,32.4,-25,90,top
R7,19.8,-36.3,-90,top
R8,51.65,-44,90,top
R9,43.77,-47.75,90,top
R10,63.9,-53.603641,90,top
R11,62.375,-51.12,0,top
R12,45.9,-46.25,90,top
R13,38.9,-47.75,90,top
R14,36.65,-46.26,90,top
R15,13.9,-27.12,180,top
R16,3.9,-16.175,-90,top
R17,66.6,-19.4,180,top
U1,28.1202,-36.4332,0,top
U2,44,-20.8,-90,top
U3,31,-19,180,top
D8,48.15,-6.122998,90,top
