Designator,Mid X,Mid Y,Rotation,Layer
C1,-48,-6,90,top
C2,-50.25,-6,90,top
C3,-42.8,-12.05,180,top
C4,-42.4,-10.3,180,top
C5,-43,5,0,top
C6,-35.8,-10.1,180,top
C7,-31.486,1.0212,-90,top
C8,-58.77,3.14,180,top
C9,-48.8,0.9,90,top
C10,-48.8,-2.3,-90,top
C14,-14.5,12.5,-90,top
C15,-43.7,24.2,-90,top
C16,-45.45,2.55,180,top
D1,-12.25,-14,90,top
D2,-9.65,-14,90,top
D3,-6.95,-14,90,top
D4,-33.75,9.75,180,top
D5,-4,-20.5,-90,top
D6,-21.5,-15.25,-90,top
D7,-30.75,-15.25,-90,top
D8,-20.75,25.25,0,top
D10,-6.8625,14.15375,180,top
FB1,-52.75,-6.1125,-90,top
HSE1,-51.3,-0.5,90,top
L1,-32.1,27.2,180,top
Q2,-61.5,11,180,top
R2,-53,-15.75,0,top
R3,-12.75,-11.5,0,top
R4,-10.25,-11.5,0,top
R5,-7.5,-11.5,0,top
R6,-34.49,8.25,0,top
R7,-47.6,-2.3,-90,top
R8,-15.75,-12,90,top
R9,-23.63,-13.75,90,top
R10,-6.03,-21.24,90,top
R11,-6,-18.25,-90,top
R12,-21.5,-12.25,90,top
R13,-28.5,-13.75,90,top
R14,-30.75,-12.26,90,top
R15,-53.5,6.88,180,top
R16,-63.5,17.825,-90,top
R17,-7.2,12.55375,180,top
U1,-39.2798,-2.4332,0,top
U2,-26,13.2,-90,top
U3,-39,15,180,top
